genre,chroma_stft,chroma_cqt,chroma_cens,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mfcc,melspectrogram,tonnetz,tempo,tempogram,fourier_tempogram,rms,zero_crossing_rate,spectral_flatness
Classical Music,0.45193434,0.43245983,0.23351276,870.5693445312194,1380.2450838388756,1554.7739318280767,20.773360076010817,-2.2385454,0.96763986,0.02323056004138748,126.04801829268293,0.30211484030227326,(0.37579927+0.0016798165j),0.063897185,0.02008113329624613,5.829489e-06
Classical Music,0.3838108,0.32000703,0.18487673,1003.157920442905,1435.3534551893836,1683.9064843145318,22.203597401826894,-3.1677346,4.353196,0.13278305371614108,126.04801829268293,0.3108184723593686,(0.38783932+0.002278907j),0.14186472,0.02740081692627709,1.0731634e-05
Classical Music,0.35101905,0.37533256,0.21856721,1395.0382723823627,1754.4198569695125,2562.4011721773413,21.841828406965767,-5.7600813,2.8751495,-0.0044396762462879085,123.046875,0.30040150434126395,(0.43083978-0.0012989659j),0.117268845,0.035921173568111454,9.262029e-06
Classical Music,0.378552,0.29933128,0.17819996,980.1496005517008,1452.4788085420946,1567.5738544286958,22.93692362928201,-11.135899,0.5741822,0.004446505990134665,126.04801829268293,0.30642158968893296,(0.35321635+0.0029484492j),0.05217418,0.026270438273993807,1.1394855e-05
Classical Music,0.5746888,0.5554299,0.26355663,784.1017553887716,1322.4554806342237,1500.224261682469,20.127456757049757,0.27500376,2.4301834,0.03154289839394538,129.19921875,0.2346627469583652,(0.44607183-0.0027355612j),0.099795364,0.014660909079914861,5.49539e-06
Classical Music,0.37851685,0.25548366,0.17780116,913.886027045919,1498.270161393329,1341.491888182082,22.207499686777812,-11.711991,0.5964116,-0.03826576334369231,126.04801829268293,0.2997199339372856,(0.32887116-0.0036643012j),0.041423332,0.021273113994775543,8.49297e-06
Classical Music,0.615315,0.5229756,0.25985333,792.624936000046,1404.6061764174021,1621.8401929542376,19.55954206473909,1.0240791,2.2790568,0.05320057044522627,132.51201923076923,0.2536200710419424,(0.4324625+0.0005464619j),0.09962249,0.012851774138931888,3.102083e-06
Classical Music,0.4644408,0.3475949,0.20496911,806.946179787156,1530.3732470560676,1164.7596235245744,19.15345578431362,-2.343098,1.7318674,0.11246558342699958,123.046875,0.31292042108225687,(0.4077985-0.002540252j),0.084133774,0.017762553212074303,5.1631387e-06
Classical Music,0.37076023,0.31508362,0.18446352,1019.5995705866452,1819.1478335592055,1295.7088316926277,20.824310078400075,-1.5421053,2.1539524,0.030878037356531978,126.04801829268293,0.31238701255885404,(0.43734312+0.00036259872j),0.10070002,0.026334685806888546,8.048943e-06
Classical Music,0.34649348,0.28112862,0.17585066,1292.5272396195237,1925.4974608722066,2417.2687164401123,24.02495418348221,-5.0838594,3.021345,0.12969633105485415,123.046875,0.31354914567844583,(0.4208988+0.0016829381j),0.1196504,0.02771109471749226,6.436715e-06
Classical Music,0.44089973,0.45834422,0.23856695,988.7355453414663,1454.6549218021396,1736.789497871517,21.15543896533225,0.0072829206,2.7518384,-0.03778000284626004,139.6748310810811,0.2766812763955375,(0.4073913+0.00070416584j),0.110953815,0.0250584274622678,4.633554e-06
Classical Music,0.32394737,0.40471476,0.22939281,1238.2118926246098,1791.6048317800512,2164.97024205447,21.512153141532014,-2.9846017,2.6743863,0.037054507608240465,120.18531976744185,0.2994498856126287,(0.41373459+0.0021218508j),0.10169469,0.030338818812886997,9.788526e-06
Classical Music,0.34060797,0.34610856,0.20282556,1462.4068454474564,1810.0010147419746,2491.5349340291214,23.425254575477567,-8.680566,0.59066117,0.08060718850730905,126.04801829268293,0.31096061369799144,(0.42560372+0.0006351184j),0.04947345,0.044298296004256964,1.5246392e-05
Classical Music,0.41015673,0.5027934,0.24499951,1056.306738035991,1411.694021841244,1768.0059757764125,21.578197246496025,-6.999686,1.2686306,0.04127372158882525,120.18531976744185,0.28125307211172457,(0.39549077+0.00190429j),0.07168017,0.031671388230456655,6.1733454e-06
Classical Music,0.39083564,0.37471104,0.20867682,1310.082167799517,2070.994102197725,2258.3196775832043,21.678993135189984,1.4792209,5.5070457,0.04564962689642893,123.046875,0.31047648600930683,(0.42185673-0.00055904j),0.16322249,0.029743206390286377,1.2620955e-05
Classical Music,0.5201166,0.49442098,0.24860586,1144.117638294565,1745.8779385552523,2164.8035763956077,21.675259482097673,0.0013389941,2.7621765,-0.02372692060507513,126.04801829268293,0.26517826649738807,(0.4534979+0.0011341466j),0.11423541,0.027757201770510834,1.0434063e-05
Classical Music,0.26239905,0.23114364,0.1601658,1125.138525748786,1886.040921667993,1763.7560014754256,24.2818047123897,-16.667614,0.1857248,0.027992243270332562,101.33272058823529,0.2545476986875588,(0.35952845+0.0020928928j),0.026196511,0.024139687741873066,1.26077575e-05
Classical Music,0.4249999,0.47231883,0.24489154,1373.8402914934688,1925.461737865348,2553.5178925599844,22.1387285969663,-4.1552978,0.76727533,0.060944056071884814,129.19921875,0.3022102616121091,(0.44942817-0.0014110402j),0.059315573,0.03386260702883127,1.50087135e-05
Classical Music,0.34411636,0.42086908,0.21643803,1214.527033094627,1521.240947482451,2088.187373016641,21.723939370129113,-7.922046,1.4224929,0.06449429049342571,120.18531976744185,0.3073350144212255,(0.3867539+0.0012534944j),0.081995904,0.03527302933920279,5.429845e-06
Classical Music,0.48236012,0.29078877,0.18423456,736.8831561071947,1035.600105235789,1181.9363006396588,24.13107452006052,-4.2256207,0.71744925,0.08126939853852908,119.68085106382979,0.3032670671822242,(0.36464685+0.0014622515j),0.057009093,0.01888194351901208,4.6015668e-07
Classical Music,0.41091454,0.4782768,0.24515343,1417.244752477906,1715.4792536541663,2881.4132462686566,22.609192375928547,-2.1859818,1.6623443,0.033957009731636185,125.0,0.306921031799098,(0.42831257+3.117696e-05j),0.08697243,0.03527320151474769,5.254631e-06
Classical Music,0.38975874,0.267183,0.18248633,1099.252113090271,1533.7614165442196,2100.1632462686566,23.854488071157064,-8.921022,0.5679615,0.08400103619611672,127.8409090909091,0.2841692447769044,(0.3605075-0.00077782007j),0.049208473,0.02208613739339019,3.9644847e-06
Classical Music,0.53139675,0.27380568,0.19176811,767.242004399485,1224.8148553101994,1401.8190298507463,22.658101743664535,-5.9988227,0.40639418,-0.008435008911805302,127.8409090909091,0.3057839622109498,(0.3280642-0.00214543j),0.038593028,0.01619587608830846,7.5615026e-06
Classical Music,0.42466435,0.46707496,0.25111037,1038.14020868159,1288.3316539223736,1871.05210554371,21.667447592224683,2.305763,5.137269,0.013410131233630171,119.68085106382979,0.3079179264965586,(0.40188348+0.000688086j),0.15852562,0.027739719371890546,1.0016468e-06
Classical Music,0.392676,0.26522136,0.1687667,990.0768210030969,1331.660823282495,1748.5174573560766,23.67855640625026,-6.9393077,2.079215,0.08282700236570847,125.0,0.3107661046790258,(0.36197156-0.00034040233j),0.10171921,0.02127094716151386,4.1981475e-06
Classical Music,0.42791477,0.35885662,0.21184473,1222.4078225346361,1546.7000064245926,2420.5756929637528,22.042187983545684,1.6749762,4.6885834,0.043694757697932705,125.0,0.31013157042144757,(0.41332445+0.0007988957j),0.15068904,0.02941382651474769,7.329747e-06
Classical Music,0.41373122,0.2990873,0.18151912,1001.7893802644808,1706.5662609947985,1582.9724147121535,24.50849962898564,-8.582958,0.7002193,0.0447923155787587,127.8409090909091,0.27357328210097354,(0.40953606+0.00096662325j),0.057675652,0.019853647499111584,4.6446758e-06
Classical Music,0.38040623,0.39031398,0.23402537,1533.9435947143156,1912.6453856108346,3032.749200426439,21.38152419259604,2.9471076,5.059385,0.03719293592022846,125.0,0.30447145037812895,(0.44977897+0.00088703516j),0.162737,0.035772934990227434,9.667712e-06
Classical Music,0.30626807,0.2522786,0.17326662,1373.6732653743197,1731.9297824847938,2523.27092217484,25.015727936732425,-11.146045,0.585286,0.12332824252851086,125.0,0.31083588909443377,(0.38716647+0.0005449233j),0.048399605,0.03441081423240938,6.075751e-06
Classical Music,0.31547093,0.36491114,0.2159263,1235.8366774520134,1565.7071493899161,2319.846082089552,23.00472418230073,0.9262809,5.1337647,0.04251756429799726,122.28260869565217,0.30987939113306495,(0.4234902-0.00024283207j),0.15690993,0.029915642213041934,2.8871123e-06
Classical Music,0.3008202,0.28009665,0.18385553,863.0951412171923,1411.0947062885161,1351.329291044776,23.839000619154085,-8.267615,0.38839358,0.11259940076399297,117.1875,0.30094958881375594,(0.3424817-0.0014974838j),0.041307017,0.019283812522210377,5.2315363e-06
Classical Music,0.45730954,0.43274844,0.24405204,1115.1392329839484,1434.2997820244102,2075.8707808267222,20.23888568590369,-2.1719017,1.5379832,0.061978848394025524,147.65625,0.2900541455043323,(0.4511943-0.0010895921j),0.08546085,0.028528172165247678,3.6872768e-06
Classical Music,0.34730354,0.34862593,0.20769645,904.4252587777133,1297.1730616555903,1418.2102878464818,25.993250596645122,-2.9018915,0.98364747,0.03360824629442277,125.0,0.3039105926337739,(0.38832852-0.0010454621j),0.064127274,0.02396499644633973,3.0208441e-06
Classical Music,0.44661593,0.49562126,0.24726819,1103.6787283914498,1464.7282084195099,2005.3804637526653,20.9019758350713,2.1089306,5.15366,0.0034009374868966932,125.0,0.29668717819670454,(0.41466093-0.0011926184j),0.15868409,0.026059712597725656,4.740135e-06
Classical Music,0.4778478,0.27891776,0.19009554,1124.561309796142,1506.178552226881,2046.9916044776119,24.616430244749143,-12.895806,0.3597744,0.10342619793512421,122.28260869565217,0.302175289654022,(0.33959734+0.0032916283j),0.03529474,0.026669109808102345,5.630779e-06
Classical Music,0.42459312,0.3939344,0.21758115,1063.5137590467991,1384.2372827162203,2038.6793710021323,21.33602950513555,-0.14648277,3.1726797,0.02782678042645364,125.0,0.31028256228985535,(0.38428155+0.0030609001j),0.11956726,0.02478712742093106,6.4882574e-06
Classical Music,0.35880932,0.2290355,0.16529582,1103.7052471029804,1454.417339978774,1903.1349946695095,23.863879474862486,-15.904127,0.18130164,0.15739948311042232,119.68085106382979,0.3092006061129957,(0.36346626+0.0014969832j),0.02781616,0.025187261238450605,1.46467055e-05
Classical Music,0.46041155,0.45501596,0.22903615,1085.7322641477854,1365.4424116455446,2116.804371002132,21.936866325918345,-3.7014039,1.6704932,0.012642986241491723,125.0,0.29482561799645535,(0.37317532-0.0014175163j),0.0867879,0.024861046330845772,8.688556e-06
Classical Music,0.42473167,0.30711278,0.20087701,1040.8280590452634,1467.2630225490655,1975.3131663113006,23.38236862491803,-1.4903337,1.8470333,-0.0026706486664284605,122.28260869565217,0.3086871244850872,(0.35993776-0.0010953518j),0.090746425,0.024157602056680882,3.9398024e-06
Classical Music,0.2844167,0.31867358,0.19633882,1233.3203485181525,1396.9883345385767,2111.673773987207,22.94134923784937,-5.671091,2.7747326,0.07100701413351618,119.68085106382979,0.30995071078005504,(0.39198166+0.0002816173j),0.11709363,0.03450659648187633,5.477728e-06
Classical Music,0.39962807,0.21681629,0.15931204,721.7658972789008,1112.9162109028264,1213.086353944563,23.936969996230108,-2.2309642,1.9067177,0.06724005521285957,114.79591836734694,0.2956542987185904,(0.33940753+0.0008575985j),0.08957769,0.018491179704157784,1.3556254e-06
Classical Music,0.34865475,0.29547164,0.1900359,1087.86172297115,1621.9137025876103,1715.3518123667377,24.940813975165423,-3.265117,1.6241213,0.04140189853868656,122.28260869565217,0.3121543854120386,(0.38189054+0.0008498851j),0.08846434,0.025141105299395877,4.2824076e-06
Classical Music,0.42808875,0.28412086,0.1887525,1398.0635163586694,1605.223800063003,2736.7404051172707,22.36474030832701,-1.8054833,1.454366,0.03055553150406487,127.8409090909091,0.31243461955838797,(0.40035954+0.0020618178j),0.0846629,0.03543353267146411,6.110672e-06
Classical Music,0.4037667,0.25827938,0.17620063,443.41061077894574,701.4840340611049,609.1917643923241,23.607116343952868,-12.585983,0.5757054,-0.043456932548699985,133.92857142857142,0.20892471277018287,(0.28606683+0.0005616139j),0.052079,0.012007484896943851,2.4980345e-06
Classical Music,0.402919,0.4188647,0.23180379,1695.0702886960246,2197.617767971555,3410.047974413646,21.579474922321268,2.0338948,4.414266,0.03736552986853713,122.28260869565217,0.3038956327426079,(0.46263367-0.0003566066j),0.15114856,0.03958895533493248,1.1220593e-05
Classical Music,0.32732052,0.22348222,0.16097626,1194.795708559742,1538.5305349171656,2183.352212153518,25.200579849837588,-7.319746,0.8149791,-0.021027759791135234,122.28260869565217,0.3098087871049749,(0.38012874+0.0007725608j),0.06269866,0.030414681614250177,6.562737e-06
Classical Music,0.3269639,0.3148484,0.19124039,1602.9294017316613,1734.6916667758217,3052.0888859275055,25.36538639295193,-9.9345,1.4018824,0.03726728360376619,122.28260869565217,0.311959155858045,(0.41686457-0.0002268299j),0.07968657,0.03976455612562189,5.6441477e-06
Classical Music,0.4187353,0.44777483,0.23702051,1434.1568767734504,1764.2569995799658,2817.264125799574,21.530200649054397,-0.22310865,2.3676965,0.024525748154359386,137.1951219512195,0.2917832850599664,(0.4453711-1.5645279e-05j),0.107718155,0.03422445529051173,8.175265e-06
Classical Music,0.30157858,0.21458861,0.1585116,930.84156492062,1137.4405965884948,1460.5710287846482,25.247210088984378,-12.791252,0.91686654,0.09568514357629879,122.28260869565217,0.30670490207864975,(0.3099921-0.0014413245j),0.062252764,0.02427559468283582,1.9026293e-06
Classical Music,0.4100609,0.3306903,0.19602269,1246.5034008219752,1523.8460445281603,2472.814498933902,22.349745464938298,-1.0605415,1.8940278,0.007790684362761738,125.0,0.31176113202889766,(0.4036234-0.00043972107j),0.096547246,0.029870527385394457,4.963935e-06
Classical Music,0.3759523,0.3325108,0.2087537,833.9712892177974,1173.744368895377,1375.183235607676,23.953715567404714,-10.504461,0.54381216,0.0626209258074118,170.45454545454547,0.24378838747400883,(0.3926575+0.0016823079j),0.046983536,0.019985174573560766,5.556778e-06
Classical Music,0.3855417,0.4911703,0.24615099,850.1348607974111,1230.4201570979762,1457.089552238806,23.48145647776975,-1.8121135,1.8063886,0.013787265814514107,125.0,0.3034807737814187,(0.39663032-0.0013451225j),0.08375268,0.02306998767324094,3.0728772e-06
Classical Music,0.40382954,0.3187463,0.20877849,1259.533175960098,1804.0174506443163,2504.6475213219614,22.244137579964086,0.20590374,2.791666,0.02765308315187719,119.68085106382979,0.3060370962631008,(0.42290848+0.0003527264j),0.1093392,0.025637368403518122,7.000983e-06
Classical Music,0.4791158,0.40317255,0.23187181,1359.461776247561,1670.9097125817775,2722.1481876332623,21.20438891950648,1.8123834,5.5194583,0.047679601171384194,119.68085106382979,0.31259731888697634,(0.42518517+0.00014571575j),0.16193187,0.033194449071606257,6.848925e-06
Classical Music,0.3627469,0.29584596,0.19313651,1059.900180787382,1471.8621583180916,1831.0734275053305,25.410265618452094,-2.1583354,1.6137044,0.045920377129806705,125.0,0.3094094153615305,(0.36921963-0.0010421504j),0.08500845,0.02572169842750533,3.7344337e-06
Classical Music,0.43599424,0.22674343,0.15389974,580.7119062042318,900.9362556886255,1079.6575159914712,22.76840842852379,-0.3019842,1.9485136,0.11177835237554248,122.28260869565217,0.31136557679079413,(0.3492427+0.00015682395j),0.0984617,0.014535303393745558,7.692494e-07
Classical Music,0.28922468,0.36820233,0.21804376,1536.97590378555,1845.52956552016,2897.382479924536,24.786696898296267,-10.513249,1.0771911,0.03938575568873997,90.66611842105263,0.1817601782159979,(0.4250413-5.399658e-05j),0.072207816,0.0485159575754644,5.229424e-06
Classical Music,0.21508351,0.22712065,0.16125663,680.2585456414474,635.1474752639624,1033.5104171705689,25.836779333167556,-19.97098,0.31632543,-0.07244166797173923,105.46875,0.1140993087598254,(0.23923421-0.0014154981j),0.03607407,0.023697513544891642,5.937456e-07
Classical Music,0.32892182,0.31987688,0.20146544,2635.963266130591,2594.5937231865237,4651.188541565886,24.169941556319316,-18.130442,0.15477753,-0.03494507843661874,126.04801829268293,0.23889262401775457,(0.3556854+0.002632877j),0.026907768,0.0842058400251548,0.000399819
Classical Music,0.25702113,0.24722616,0.16878848,1154.223857279806,1784.6037683585853,1892.67188860536,25.09201783465563,-15.577878,0.15580098,-0.04069590186796419,112.34714673913044,0.23008298014889958,(0.36666134-0.0006183712j),0.02517245,0.032915522808630034,6.2748672e-06
Classical Music,0.33669937,0.30401295,0.18734209,1567.201763246666,2356.6922975646075,2914.74904157798,25.16418205368743,-21.793959,0.27790827,-0.02064589782828604,147.65625,0.21621792519681068,(0.3879304+0.000877162j),0.028383527,0.02994842056888545,0.00047926715
Classical Music,0.5475355,0.16689987,0.14351606,1362.1368286483587,2115.860568955597,2776.683209776509,20.52682904020952,-4.531385,0.12649587,-0.0623594662026928,129.19921875,0.28019500119696245,(0.44088307+0.0013066159j),0.02503339,0.023859266157120744,6.399516e-05
Classical Music,0.4683564,0.36940497,0.21818434,1471.2727245374072,2363.3262483808053,3004.5151654411766,18.592003313310613,-3.466815,0.3748686,0.011412065195739545,147.65625,0.19927478041184557,(0.50698286-0.00027386294j),0.041089963,0.022706589831656347,3.580149e-05
Classical Music,0.3644471,0.27707183,0.17824191,1251.6844239032607,1658.0126319384892,2204.4866697707043,22.071211554169196,-9.770712,0.3260046,0.08044466910365622,129.19921875,0.27925912194417696,(0.3896806+0.0010990835j),0.037598092,0.03460976804373065,1.106998e-05
Classical Music,0.55435,0.26033074,0.19197811,1912.725800835113,2480.379462542068,4401.77338307856,21.35464462786859,-1.2564265,0.48677313,-0.044358069695829304,107.666015625,0.2503993332426931,(0.48058987-0.00012858353j),0.046490036,0.050033711058436535,2.7807682e-05
Classical Music,0.23105386,0.24149124,0.16569372,2253.7480965719105,2865.7766658241353,4727.121415743518,27.25290866054176,-14.691148,0.31431985,0.09293019410588628,126.04801829268293,0.2947666337601387,(0.42466483+0.00095295446j),0.042527433,0.05969918549245356,1.2549278e-05
Classical Music,0.3844861,0.24353871,0.16762817,1345.2799799947416,1917.0869275192076,2700.967000955399,24.171442718834697,-4.342219,0.32692394,0.06624014729413023,123.046875,0.2586681573008763,(0.43326727-0.0002280941j),0.039792165,0.033938192361648606,1.8565263e-05
Classical Music,0.44617245,0.4649235,0.24326365,1549.269588942087,2248.2306570604383,2753.2833512722523,20.230482504729007,-3.6850643,0.472468,-0.014055754604859366,123.046875,0.29300307598550646,(0.45060834+0.00051463296j),0.04634362,0.033362232125580496,3.431901e-05
Classical Music,0.46899924,0.27406204,0.18534681,1489.9699897274156,2354.4361377671726,2963.7654118493615,20.594127864359532,-0.4782361,1.0614552,-0.009763014352571663,123.046875,0.27992168080985325,(0.4742407-0.0009472249j),0.06954583,0.026680488704527865,2.3553694e-05
